price,toilet_count,heating_type,building_age,building_type,neighborhood,floor,bedrooms,living_rooms,size
12000000.0,1.0,Merkezi (Pay Ölçer),10.0,Residence,Beşiktaş,4.0,1,1,85.0
125000000.0,3.0,Merkezi (Pay Ölçer),12.0,Residence,Beşiktaş,7.0,3,1,220.0
110500000.0,2.0,Merkezi (Pay Ölçer),18.0,Residence,Şişli,3.0,2,1,165.0
90000000.0,2.0,Merkezi (Pay Ölçer),4.0,Residence,Beşiktaş,18.0,2,1,140.0
78000000.0,3.0,Merkezi (Pay Ölçer),9.0,Residence,Beşiktaş,3.0,3,1,160.0
13500000.0,1.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,12.0,1,1,60.0
70000000.0,3.0,Merkezi (Pay Ölçer),15.0,Residence,Beşiktaş,3.0,4,1,280.0
99000000.0,2.0,Merkezi (Pay Ölçer),7.0,Residence,Beşiktaş,10.0,2,1,150.0
12000000.0,1.0,Merkezi (Pay Ölçer),10.0,Residence,Beşiktaş,3.0,1,1,70.0
44000000.0,2.0,Merkezi (Pay Ölçer),8.0,Daire,Beşiktaş,15.0,4,1,245.0
2399000.0,1.0,Kombi,4.0,Daire,Esenyurt,3.0,1,0,97.0
2650000.0,1.0,Kombi,2.0,Daire,Esenyurt,0.0,3,1,126.0
4650000.0,2.0,Kombi,8.0,Daire,Büyükçekmece,0.0,3,1,110.0
6750000.0,2.0,Doğalgaz,9.0,Daire,Avcılar,3.0,1,0,105.0
17500000.0,2.0,Kat Mülkiyeti,9.0,Villa,Başakşehir,3.0,4,0,105.0
13750000.0,3.0,Kombi,5.0,Daire,Büyükçekmece,5.0,4,2,230.0
10000000.0,3.0,Doğalgaz,9.0,Müstakil Ev,Beykoz,3.0,7,3,280.0
31500000.0,1.0,Doğalgaz,9.0,Müstakil Ev,Beykoz,3.0,2,1,90.0
6490000.0,2.0,Uygun değil,9.0,Daire,Bakırköy,3.0,1,0,105.0
2475000.0,2.0,Uygun,9.0,Daire,Esenyurt,3.0,1,0,105.0
3950000.0,2.0,Kombi,5.0,Daire,Kağıthane,0.0,2,2,80.0
1650000.0,1.0,Kombi,25.0,Daire,Kağıthane,-2.0,2,1,80.0
2395000.0,2.0,Uygun,9.0,Daire,Esenyurt,3.0,1,0,105.0
7500000.0,1.0,Kömür-Odun,9.0,Bina,Büyükçekmece,3.0,2,1,114.0
